epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,27011.9,0.45459,0.32744,0.97482,0.98743,0.97223,0.9927,0.88208,0.32748,0.23179,0.84998,0.000990365,0.000990365,0.000990365
43,27431.6,0.43647,0.31916,0.95783,0.97245,0.9827,0.99484,0.89154,0.325,0.22492,0.85138,0.000973861,0.000973861,0.000973861
44,28321.2,0.43738,0.31951,0.9625,0.99515,1,0.995,0.89862,0.34703,0.23016,0.8549,0.000957358,0.000957358,0.000957358
45,28733.1,0.44892,0.32859,0.95768,0.97307,1,0.99381,0.90042,0.32433,0.22658,0.85554,0.000940855,0.000940855,0.000940855
46,29146.9,0.43132,0.32085,0.95351,0.98621,0.97912,0.99472,0.88185,0.311,0.23291,0.84969,0.000924352,0.000924352,0.000924352
47,29562.9,0.42384,0.38606,0.95248,0.99042,1,0.995,0.89729,0.30173,0.2233,0.84632,0.000907848,0.000907848,0.000907848
48,31132.6,0.45863,0.32166,0.97387,0.99865,0.99889,0.995,0.89938,0.31385,0.2166,0.84742,0.000891345,0.000891345,0.000891345
49,31516.3,0.42907,0.30205,0.95754,0.99706,1,0.995,0.90231,0.31914,0.20929,0.84201,0.000874842,0.000874842,0.000874842
50,31971.1,0.44207,0.32258,0.9625,0.99093,1,0.995,0.90745,0.30582,0.21308,0.83695,0.000858338,0.000858338,0.000858338
51,32437,0.41446,0.29735,0.94897,0.99346,0.99896,0.995,0.89876,0.2865,0.19215,0.83649,0.000841835,0.000841835,0.000841835
52,32908.1,0.42523,0.30116,0.95414,0.99524,1,0.995,0.90392,0.28634,0.19917,0.83096,0.000825332,0.000825332,0.000825332
53,33382.7,0.41632,0.29817,0.94807,0.99859,0.99804,0.995,0.89936,0.3358,0.22074,0.84027,0.000808828,0.000808828,0.000808828
54,33860,0.41417,0.28403,0.94382,0.99058,0.99909,0.99486,0.88514,0.3032,0.21398,0.8419,0.000792325,0.000792325,0.000792325
55,34320.5,0.41947,0.3051,0.94613,0.96985,0.99766,0.99381,0.89317,0.28352,0.20477,0.82922,0.000775822,0.000775822,0.000775822
56,34803,0.43235,0.29931,0.95228,0.97477,1,0.99381,0.90964,0.29945,0.20405,0.83995,0.000759318,0.000759318,0.000759318
57,35427.2,0.41666,0.29172,0.94474,0.9943,0.99917,0.995,0.9082,0.30015,0.19457,0.83968,0.000742815,0.000742815,0.000742815
58,35887.2,0.39133,0.29418,0.92011,0.99681,0.9992,0.995,0.90041,0.30142,0.19182,0.84506,0.000726312,0.000726312,0.000726312
59,36372.4,0.4132,0.28332,0.95752,0.97116,0.97416,0.99174,0.89657,0.31651,0.19545,0.843,0.000709809,0.000709809,0.000709809
60,36863.6,0.41414,0.29003,0.94514,0.99513,0.97492,0.98918,0.89511,0.29954,0.20419,0.85406,0.000693305,0.000693305,0.000693305
61,37355.8,0.41988,0.29687,0.95096,0.99863,1,0.995,0.8954,0.27758,0.18286,0.8294,0.000676802,0.000676802,0.000676802
62,37852.7,0.41243,0.28313,0.94257,0.99753,0.99705,0.995,0.89015,0.28012,0.19073,0.8306,0.000660299,0.000660299,0.000660299
63,38841.4,0.41466,0.28566,0.94157,0.98597,0.97438,0.99374,0.89595,0.28769,0.19004,0.83946,0.000643795,0.000643795,0.000643795
64,39312.4,0.40633,0.28174,0.94473,0.99811,0.9992,0.995,0.88824,0.27775,0.18102,0.83216,0.000627292,0.000627292,0.000627292
65,39796.4,0.40083,0.27187,0.93617,0.99869,0.99769,0.995,0.88411,0.29214,0.18466,0.82927,0.000610789,0.000610789,0.000610789
66,40280.5,0.37648,0.26319,0.92861,0.99779,1,0.995,0.89677,0.28876,0.17797,0.8312,0.000594286,0.000594286,0.000594286
67,40771.9,0.38963,0.26705,0.93765,0.99723,1,0.995,0.90583,0.31051,0.18882,0.83795,0.000577782,0.000577782,0.000577782
68,41261.3,0.40665,0.28732,0.94918,0.99453,1,0.995,0.87998,0.28763,0.1852,0.82732,0.000561279,0.000561279,0.000561279
69,42673.1,0.37566,0.26714,0.93542,0.99447,0.97989,0.995,0.89029,0.2897,0.18124,0.82837,0.000544776,0.000544776,0.000544776
70,43152,0.37775,0.26388,0.93056,0.9863,0.9925,0.995,0.89831,0.28747,0.17933,0.82919,0.000528272,0.000528272,0.000528272
71,43641.6,0.37552,0.25915,0.9265,0.99704,0.99766,0.995,0.89369,0.27989,0.17739,0.82168,0.000511769,0.000511769,0.000511769
72,44133.9,0.37964,0.26525,0.93496,0.99898,0.99895,0.995,0.90853,0.27305,0.17375,0.82812,0.000495266,0.000495266,0.000495266
73,44622.2,0.3752,0.26578,0.9238,0.99475,0.99827,0.995,0.89753,0.28032,0.17583,0.82802,0.000478762,0.000478762,0.000478762
74,45103.8,0.39917,0.26773,0.93625,0.99369,0.99761,0.995,0.89218,0.29959,0.18394,0.83137,0.000462259,0.000462259,0.000462259
75,45560.6,0.37373,0.25879,0.93787,0.99842,1,0.995,0.90571,0.28717,0.18198,0.83096,0.000445756,0.000445756,0.000445756
76,46038.2,0.38719,0.26573,0.93726,0.99675,0.99913,0.995,0.89227,0.27699,0.16846,0.83335,0.000429253,0.000429253,0.000429253
